query,lat,lon
"Budapest IX. district, Gát street 32., Hungary",,
"Gát street 32., Budapest, Hungary",,
"Budapest, District XI, Kondorosi Street, Hungary",,
"Kondorosi Street, Budapest, Hungary",,
"Budapest VIII. district, Corvin Promenade 4., Hungary",,
"Corvin Promenade 4., Budapest, Hungary",,
"Budapest VIII. district, Illés street 6., Hungary",,
"Budapest XIII. district, Balzac street, Hungary",,
"Balzac street, Budapest, Hungary",,
"Budapest, District XIII, Szent László Street, Hungary",,
"Szent László Street, Budapest, Hungary",,
"Budapest, District XI, Etele Street, Hungary",,
"Etele Street, Budapest, Hungary",,
"Budapest IX. district, Nádasdy street, Hungary",,
"Nádasdy street, Budapest, Hungary",,
"Budapest VIII. district, Corvin Promenade 2., Hungary",,
"Corvin Promenade 2., Budapest, Hungary",,
"Budapest XVI. district, Nyitra street, Hungary",,
"Nyitra street, Budapest, Hungary",,
"Budapest 13th district, Gidófalvy Lajos street, Hungary",,
"Gidófalvy Lajos street, Budapest, Hungary",,
"Budapest XII. district, György Aladár street, Hungary",,
"György Aladár street, Budapest, Hungary",,
"Budapest XIII. district, Bessenyei street 8-10., Hungary",,
"Bessenyei street 8-10., Budapest, Hungary",,
"Budapest VI. district, Király street 40., Hungary",,
"Király street 40., Budapest, Hungary",,
"Budapest IX. district, Pápay István street 7., Hungary",,
"Budapest III. district, Kerék street, Hungary",,
"Kerék street, Budapest, Hungary",,
"Budapest, District 13, Danubius Street 16., Hungary",,
"Danubius Street 16., Budapest, Hungary",,
"Budapest III. district, Vöröskereszt street 14., Hungary",,
"Budapest VIII. district, Corvin Promenade 5., Hungary",,
"Corvin Promenade 5., Budapest, Hungary",,
"Budapest IX. district, Vágóhíd street 12., Hungary",,
"Budapest X. district, Korponai street 12., Hungary",,
"Budapest II. district, Cimbalom street, Hungary",,
"Cimbalom street, Budapest, Hungary",,
"Budapest IX. district, Mester street, Hungary",,
"Mester street, Budapest, Hungary",,
"Budapest VI. district, Bajza street, Hungary",,
"Bajza street, Budapest, Hungary",,
"Budapest VI. district, Bajnok street 11., Hungary",,
"Bajnok street 11., Budapest, Hungary",,
"Budapest 10th district, Petrőczy street, Hungary",,
"Petrőczy street, Budapest, Hungary",,
"Budapest II. district, Nagybányai street, Hungary",,
"Nagybányai street, Budapest, Hungary",,
"Budapest III. district, Iglice street, Hungary",,
"Iglice street, Budapest, Hungary",,
"Budapest VI. district, Csengery street 62., Hungary",,
"Csengery street 62., Budapest, Hungary",,
"Budapest V. district, Bank street, Hungary",,
"Bank street, Budapest, Hungary",,
"Budapest 6th district, Eötvös street, Hungary",,
"Eötvös street, Budapest, Hungary",,
"Budapest VI. district, Ó street 4., Hungary",,
"Ó street 4., Budapest, Hungary",,
"Budapest V. district, Dorottya street, Hungary",,
"Dorottya street, Budapest, Hungary",,
"Budapest VII. district, Lower Forest Row, Hungary",,
"Lower Forest Row, Budapest, Hungary",,
"Budapest V. district, József Attila street 18., Hungary",,
"Budapest IX. district, Tompa street 15., Hungary",,
"Tompa street 15., Budapest, Hungary",,
"Budapest VIII. district, Illés street, Hungary",,
"Illés street, Budapest, Hungary",,
"Budapest I. district, Szalag street, Hungary",,
"Szalag street, Budapest, Hungary",,
"Budapest, District XIV, Öv Street 133., Hungary",,
"Öv Street 133., Budapest, Hungary",,
"Budapest VIII. district, Práter street 6-8., Hungary",,
"Práter street 6-8., Budapest, Hungary",,
"Budapest V. district, József nádor tér, Hungary",,
