price_huf,floor_area_m2,rooms,district,distance_to_center_km,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin
410000,77,3,12,2.684578715,0,12,1,renovated,0,4,0,86,0,0
400000,90,3,6,1.144478681,2,12,1,renovated,,,1,,1,1
250000,47,2,8,1.947015705,5,,,novel,5,8,0,20.5,1,1
260000,49,2,9,3.262295076,12,12,,new,5,7,1,,1,1
695000,102,3,3,7.772316604,19,12,0,novel,1,4,0,20.5,1,0
345000,93,2.5,5,0.046426352,0,12,,renovated,4,7,0,86,1,1
900000,135,4,3,7.772316604,40,12,0,renovated,1,3,0,35.5,1,0
136500,200,5,2,5.141908853,30,12,0,novel,1,2,1,,1,1
380000,75,2.5,9,3.262295076,0,,,renovated,6,6,1,,1,1
250000,60,2,11,3.46709936,0,12,,in good condition,5,6,0,86,0,1
138000,21,1,2,5.141908853,0,12,0,renovated,1,2,0,35.5,0,0
329900,60,3,11,3.46709936,0,12,,unknown,5,,0,5,1,1
310000,61,2,13,4.26471956,0,12,,renovated,5,,1,,1,1
380000,78,2.5,12,2.684578715,4,12,,in good condition,6,7,1,,1,1
250000,37,2,13,4.26471956,0,,0,in good condition,1,,0,20.5,1,1
270000,46,2,13,4.26471956,0,12,0,novel,1,4,0,8,1,1
700000,97,2.5,6,1.144478681,107,12,,novel,6,6,0,20.5,1,1
260000,50,2,9,3.262295076,11,12,0,novel,1,7,1,,1,1
280000,51,2,13,4.26471956,0,12,0,new,1,8,0,5,1,1
340000,51,2,6,1.144478681,0,12,0,novel,1,8,0,20.5,1,1
270000,52,2,6,1.144478681,0,12,0,unknown,1,6,0,13,1,1
450000,45,2,13,4.26471956,0,12,,new,6,7,0,1,0,1
270000,54,2,11,3.46709936,4,12,0,in good condition,1,9,0,61,1,1
468000,60,3,6,1.144478681,0,12,0,renovated,1,5,1,,1,1
285000,56,2,8,1.947015705,6,12,,novel,6,7,1,,1,1
355000,64,3,13,4.26471956,0,12,0,new,1,7,0,4,0,1
420000,79,3,3,7.772316604,0,12,0,novel,1,4,0,20.5,1,1
