price_huf,floor_area_m2,rooms,district,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin,lat,lon,distance_to_center_km_real,dist_to_metro_km,dist_to_danube_km,is_inner_ring
310000,41,1.5,9,3,12,,novel,8,8,0,20.5,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
240000,38,1.5,9,7,12,0,novel,3,8,0,11,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
550000,92,3,8,0,12,0,novel,6,9,0,20.5,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
350000,55,3,16,0,12,,new,2,,0,3,1,1,47.5188422,19.0778549,2.866502241,0.298295738,2.656130445,0
240000,32,1,13,5,12,0,new,7,9,0,5,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
250000,56,2,12,6,12,,renovated,2,3,1,,1,0,47.4875911,19.0130384,3.397011208,1.714526415,3.100870954,0
450000,71,3,13,0,12,0,new,7,7,1,,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
560000,72,3,8,18,12,0,novel,7,10,0,8,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
1150500,94,3,6,0,12,0,novel,7,7,0,7,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
330000,48,2,9,0,12,0,novel,8,9,0,5,1,1,47.474514,19.0730582,2.912565141,1.038797791,0.786621408,1
329900,69,3,3,0,12,0,novel,8,10,1,,1,1,47.5611995,19.054608,7.038977302,1.947220491,4.710579519,0
720000,80,3,6,25,12,0,novel,8,8,0,20.5,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
240000,31,1.5,1,0,12,,renovated,0,5,1,,0,1,47.496186,19.0354429,1.526277284,0.967868631,1.172954439,0
315000,55,2,9,50,12,0,new,9,9,0,2,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
600000,81,3,13,0,12,0,novel,9,9,0,20.5,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
255000,48,2,3,0,12,0,novel,10,10,1,,1,1,47.4140604,19.0338728,9.464578405,5.669091642,6.646112408,0
440000,67,3,8,0,12,0,new,0,6,0,6,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
260000,44,1.5,9,0,12,0,new,5,,0,3,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
499900,68,3,9,10,12,,new,2,10,0,1,1,1,47.4280735,19.0738796,7.88501852,5.136905306,4.709586154,1
995000,160,3,2,20,4,0,novel,0,3,1,,1,0,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
170000,28,1,10,20,12,0,renovated,0,0,0,20.5,0,0,47.4838342,19.1271454,5.598493392,1.869203374,4.917356515,0
285000,72,2,9,0,12,,novel,2,5,1,,0,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
390000,49,1.5,2,1,12,,renovated,0,3,1,,1,0,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
310000,41,1.5,9,0,12,0,novel,8,8,0,20.5,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
440000,75,3,2,20,12,,renovated,2,2,0,35.5,1,0,47.5140573,19.0254015,2.893627472,0.707255768,1.280063403,0
290000,75,3,6,0,12,,renovated,2,7,1,,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
240000,52,1.5,6,0,12,0,renovated,0,2,0,61,0,0,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
198000,56,2,10,0,6,0,in good condition,0,2,0,61,0,0,47.4666288,19.1273599,6.416451761,0.136610207,4.702404618,0
320000,70,2,2,0,12,0,renovated,2,3,1,,1,0,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
622000,95,4,3,42,24,0,new,0,3,0,11,1,0,47.5611995,19.054608,7.038977302,1.947220491,4.710579519,0
380000,85,3,6,0,12,,renovated,2,,1,,1,0,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
1365000,147,3,5,0,12,1,renovated,1,4,1,,1,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
858000,168,3,5,0,12,1,in good condition,1,2,1,,1,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
170000,37,1,6,0,5,1,in good condition,1,5,1,,0,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
300000,42,1,7,0,12,1,renovated,1,,1,,0,1,47.4975988,19.0711573,1.169228531,0.135998628,1.479029253,1
500000,100,3,6,0,12,,renovated,3,3,1,,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
300000,44,1,5,0,12,1,renovated,1,5,1,,1,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
240000,44,2,7,0,12,1,in good condition,1,4,1,,0,0,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
350000,44,2,5,0,12,1,renovated,1,5,1,,1,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
400000,54,3,5,0,,1,novel,1,5,1,,1,1,47.4646023,19.1148204,5.789164652,0.466598434,3.792739846,1
280000,55,3,9,0,6,1,renovated,1,4,1,,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
